N°;Nom;Durée;Début;Fin;Prédécesseurs;Successeurs
298;Elévations R+1;1 sm;Ven 27/08/10;Jeu 02/09/10;297;299
299;Dalle haute R+1;1 sm;Ven 03/09/10;Jeu 09/09/10;298;300
300;Elévations R+2;1 sm;Ven 10/09/10;Jeu 16/09/10;299;301
301;Dalle haute R+2;1 sm;Ven 17/09/10;Jeu 23/09/10;300;302
302;Elévations Attique;1 sm;Ven 24/09/10;Jeu 30/09/10;301;"306;360FD+1 sm"
303;Coursive du RdC à l'Attique;8 sm;Ven 23/07/10;Jeu 07/10/10;297DD;
304;Structures métallique des balcons;2 sm;Ven 08/10/10;Jeu 21/10/10;360DD;328FD+1 sm
305;Pose platelages bois des balcons;1 sm;Lun 06/12/10;Ven 10/12/10;363FD+2 jours;314
306;Finitions sur consignes OPC;6 sm;Ven 01/10/10;Mar 16/11/10;302;
307;03 / CHARPENTE - MURS OSSATURE BOIS - BARDAGE;56 jours;Ven 08/10/10;Mer 12/01/11;;
308;Plans PAC;0 jour;Ven 08/10/10;Ven 08/10/10;309DF;
309;Commande ;2 sm;Ven 08/10/10;Ven 22/10/10;310DF;308DF
310;Fabrication;1 sm;Ven 22/10/10;Ven 29/10/10;311DF;309DF
311;Pose murs bois;4 jours;Ven 29/10/10;Jeu 04/11/10;317;"310DF;312"
312;Pose charpente ;1 sm;Ven 05/11/10;Lun 15/11/10;311;313FD-2 jours
313;Pose volige;4 jours;Mer 10/11/10;Mer 17/11/10;312FD-2 jours;316
314;Réalisation bardage;13 jours;Lun 13/12/10;Mer 12/01/11;305;
315;04 / COUVERTURE - ETANCHEITE - ZINGUERIE;36 jours;Ven 15/10/10;Mer 08/12/10;;
316;Pose isolant + étanchéité;2 sm;Jeu 18/11/10;Mer 01/12/10;313;318
317;Etanchéité terrasses;2 sm;Ven 15/10/10;Jeu 28/10/10;360;"319;311"
318;Pose dalles sur plots;1 sm;Jeu 02/12/10;Mer 08/12/10;316;
319;Zinguerie;1 sm;Ven 29/10/10;Ven 05/11/10;317;320
320;Hors d'eau;0 jour;Ven 05/11/10;Ven 05/11/10;319;"324FD-2 sm;332FD+1 sm"
321;05 / MENUISERIES EXTERIEURES BOIS;45 jours;Ven 10/09/10;Mar 16/11/10;;
322;Plans PAC;0 jour;Ven 10/09/10;Ven 10/09/10;323DF;
323;Fabrication / Commande;6 sm;Ven 10/09/10;Ven 22/10/10;324DF;322DF
324;Pose châssis;2 sm;Ven 22/10/10;Ven 05/11/10;320FD-2 sm;"323DF;325"
325;Finitions;1 sm;Lun 08/11/10;Mar 16/11/10;324;326
326;Hors d'air;0 jour;Mar 16/11/10;Mar 16/11/10;325;
327;06 / SERRURERIE - METALLERIE (sur cons OPC);100 jours;Ven 29/10/10;Mar 05/04/11;;
328;Pose garde-corps balcons;1 sm;Ven 29/10/10;Ven 05/11/10;304FD+1 sm;
329;Pose murs rideaux;1 sm;Jeu 20/01/11;Mer 26/01/11;364FD+1 sm;
330;Pose mains courantes;1 sm;Mer 30/03/11;Mar 05/04/11;356FD+1 sm;
331;07 / CLOISONS - DOUBLAGES - FAUX PLAFONDS;45 jours;Mer 17/11/10;Mar 01/02/11;;
332;Cloisons;5 sm;Mer 17/11/10;Mar 04/01/11;320FD+1 sm;"333FD-2 sm;336;344DD+3 sm"
333;Doublage;4 sm;Mer 08/12/10;Mar 18/01/11;332FD-2 sm;"334;354"
334;Faux plafonds y c. soffites;2 sm;Mer 19/01/11;Mar 01/02/11;333;
335;08 / MENUISERIE INTERIEURE BOIS;82 jours;Mer 05/01/11;Lun 02/05/11;;
336;Pose blocs portes;2 sm;Mer 05/01/11;Mar 18/01/11;332;338FD+2 sm
337;Pose portes ;3 jours;Mer 23/02/11;Ven 25/02/11;355FD-2 sm;339FD-1 sm
338;Pose trappes de visite;3 jours;Mer 02/02/11;Ven 04/02/11;336FD+2 sm;
339;Pose garde-corps escalier duplex;4 jours;Lun 21/02/11;Jeu 24/02/11;337FD-1 sm;
340;Pose plinthes bois;12 jours;Mer 13/04/11;Lun 02/05/11;349;"341DD;367"
341;Equipements / Quincaillerie des portes;1 sm;Mer 13/04/11;Mar 19/04/11;340DD;
342;09 / CARRELAGE - FAÏENCE;50 jours;Ven 29/10/10;Mar 25/01/11;;
343;Choix carrelage MO / Moe;0 jour;Ven 29/10/10;Ven 29/10/10;344DD-5 sm;
344;Pose carrelage;3 sm;Mer 08/12/10;Mar 11/01/11;332DD+3 sm;"343DD-5 sm;345FD-1 sm"
345;Pose faïence;2 sm;Mer 05/01/11;Mar 18/01/11;344FD-1 sm;346
346;Finitions;1 sm;Mer 19/01/11;Mar 25/01/11;345;
347;10 / SOLS COLLES;25 jours;Mer 09/03/11;Mar 12/04/11;;
348;Ragréage;2 sm;Mer 09/03/11;Mar 22/03/11;355;"349;351DD"
349;Pose revêtement de sol souple;15 jours;Mer 23/03/11;Mar 12/04/11;348;"340;350FF"
350;Pose revêtement sur escaliers;2 jours;Lun 11/04/11;Mar 12/04/11;349FF;
351;Traitement d'imperméabilisation dans douches;3 jours;Mer 09/03/11;Ven 11/03/11;348DD;352
352;Pose revêtement dans douche;1 sm;Lun 14/03/11;Ven 18/03/11;351;
353;11 / PEINTURE;45 jours;Mer 19/01/11;Mar 22/03/11;;
354;Préparations;2 sm;Mer 19/01/11;Mar 01/02/11;333;355
355;Peinture plafonds / murs logements;5 sm;Mer 02/02/11;Mar 08/03/11;354;"337FD-2 sm;348;356;357FD-1 sm"
356;Peinture plafonds / murs communs;2 sm;Mer 09/03/11;Mar 22/03/11;355;330FD+1 sm
357;Peinture sur ouvrages bois;2 sm;Mer 02/03/11;Mar 15/03/11;355FD-1 sm;358FF
358;Peinture tuyauteries;1 sm;Mer 09/03/11;Mar 15/03/11;357FF;
359;12 / ECHAFAUDAGE;61 jours;Ven 08/10/10;Mer 19/01/11;;
360;Montage échafaudage;1 sm;Ven 08/10/10;Jeu 14/10/10;302FD+1 sm;"304DD;317"
361;Démontage échafaudage;1 sm;Jeu 13/01/11;Mer 19/01/11;364;365
362;13 / ENDUIT EXTERIEUR;35 jours;Jeu 25/11/10;Mer 26/01/11;;
363;Crépis;1 sm;Jeu 25/11/10;Mer 01/12/10;270;"364FD+3 sm;451;305FD+2 jours"
364;Peinture;1 sm;Jeu 06/01/11;Mer 12/01/11;363FD+3 sm;"329FD+1 sm;361"
365;Finitions;1 sm;Jeu 20/01/11;Mer 26/01/11;361;
366;15 / NETTOYAGE ;8 jours;Mar 03/05/11;Jeu 12/05/11;;
367;Nettoyage complet du bâtiment;8 jours;Mar 03/05/11;Jeu 12/05/11;340;379
368;16 / CHAUFFAGE - VENTILATION - SANITAIRE - SOLAIRE;220 jours;Ven 28/05/10;Jeu 12/05/11;;
369;Incorporations GO;3 mois;Ven 28/05/10;Jeu 09/09/10;292DD;370
370;Distribution;7 mois;Ven 10/09/10;Mar 12/04/11;369;371FD-2 sm
371;Appareillage ;3 sm;Mer 30/03/11;Mar 19/04/11;370FD-2 sm;
372;Essais techniques;1 sm;Ven 06/05/11;Jeu 12/05/11;378DD;
373;17 / ELECTRICITE;218 jours;Ven 28/05/10;Mar 10/05/11;;
374;Incorporations GO;3 mois;Ven 28/05/10;Jeu 09/09/10;292DD;375
375;Distribution;7 mois;Ven 10/09/10;Mar 12/04/11;374;376FD-2 sm
376;Appareillage ;3 sm;Mer 30/03/11;Mar 19/04/11;375FD-2 sm;377
377;CONSUEL;2 sm;Mer 20/04/11;Jeu 05/05/11;376;378
378;Essais techniques;3 jours;Ven 06/05/11;Mar 10/05/11;377;372DD
379;OPR ;0 jour;Jeu 12/05/11;Jeu 12/05/11;367;380
380;PARACHEVEMENT;3 sm;Ven 13/05/11;Lun 06/06/11;379;381
381;RECEPTION BATIMENT B;0 jour;Lun 06/06/11;Lun 06/06/11;380;
382;;;;;;
383;BÂTIMENT A;226 jours;Ven 25/06/10;Mer 22/06/11;;
384;01 / GROS-ŒUVRE;108 jours;Ven 25/06/10;Ven 17/12/10;;
385;Fondations;1 sm;Ven 25/06/10;Jeu 01/07/10;294;"386DD+5 jours;457DD;462DD"
386;Elévations + dallage RdC;3 sm;Ven 02/07/10;Jeu 22/07/10;385DD+5 jours;"387;393DD"
387;Dalle haute RdC;2 sm;Ven 23/07/10;Jeu 26/08/10;386;388
388;Elévations R+1;2 sm;Ven 27/08/10;Jeu 09/09/10;387;389
389;Dalle haute R+1;2 sm;Ven 10/09/10;Jeu 23/09/10;388;390
390;Elévations Attique;1 sm;Ven 24/09/10;Jeu 30/09/10;389;448FD+2 sm
391;Structures métallique des balcons;1 sm;Ven 22/10/10;Jeu 28/10/10;448;416FD+1 sm
392;Pose platelages bois des balcons;1 sm;Lun 13/12/10;Ven 17/12/10;451FD+2 jours;402
393;Coursive;7 sm;Ven 02/07/10;Jeu 09/09/10;386DD;394
394;Finitions ;4 sm;Ven 10/09/10;Jeu 07/10/10;393;
395;03 / CHARPENTE - MURS OSSATURE BOIS - BARDAGE;56 jours;Ven 15/10/10;Mer 19/01/11;;
396;Plans PAC;0 jour;Ven 15/10/10;Ven 15/10/10;397DF;
397;Commande ;2 sm;Ven 15/10/10;Ven 29/10/10;398DF;396DF
398;Fabrication;1 sm;Ven 29/10/10;Lun 08/11/10;399DF;397DF
399;Pose murs bois;4 jours;Lun 08/11/10;Lun 15/11/10;405;"398DF;400"
400;Pose charpente ;1 sm;Mar 16/11/10;Lun 22/11/10;399;401
401;Pose volige;4 jours;Mar 23/11/10;Ven 26/11/10;400;404
402;Réalisation bardage;13 jours;Lun 03/01/11;Mer 19/01/11;392;
403;04 / COUVERTURE - ETANCHEITE - ZINGUERIE;51 jours;Ven 22/10/10;Mer 19/01/11;;
404;Pose isolant + étanchéité;2 sm;Lun 29/11/10;Ven 10/12/10;401;"406;408"
405;Etanchéité terrasses;2 sm;Ven 22/10/10;Ven 05/11/10;448;399
406;Pose dalles sur plots;1 sm;Lun 13/12/10;Ven 17/12/10;404;
407;Zinguerie;1 sm;Jeu 13/01/11;Mer 19/01/11;452;
408;Hors d'eau;0 jour;Ven 10/12/10;Ven 10/12/10;404;420FD+2 jours
409;05 / MENUISERIES EXTERIEURES BOIS;45 jours;Ven 24/09/10;Mar 30/11/10;;
410;Plans PAC;0 jour;Ven 24/09/10;Ven 24/09/10;411DF;
411;Fabrication / Commande;6 sm;Ven 24/09/10;Lun 08/11/10;412DF;410DF
412;Pose châssis;2 sm;Lun 08/11/10;Mar 23/11/10;448FD+2 sm;"413;411DF"
413;Finitions;1 sm;Mer 24/11/10;Mar 30/11/10;412;414
414;Hors d'air;0 jour;Mar 30/11/10;Mar 30/11/10;413;
415;06 / SERRURERIE - METALLERIE (sur cons OPC);110 jours;Lun 08/11/10;Jeu 28/04/11;;
416;Pose garde-corps balcons;1 sm;Lun 08/11/10;Mar 16/11/10;391FD+1 sm;
417;Pose murs rideaux;1 sm;Jeu 20/01/11;Mer 26/01/11;449;
418;Pose mains courantes;1 sm;Mer 20/04/11;Jeu 28/04/11;444FD+1 sm;
419;07 / CLOISONS - DOUBLAGES - FAUX PLAFONDS;40 jours;Mer 15/12/10;Mar 22/02/11;;
420;Cloisons;4 sm;Mer 15/12/10;Mar 25/01/11;408FD+2 jours;"421FD-1 sm;424;432"
421;Doublage;3 sm;Mer 19/01/11;Mar 08/02/11;420FD-1 sm;422
422;Faux plafonds y c. soffites;2 sm;Mer 09/02/11;Mar 22/02/11;421;442
423;08 / MENUISERIE INTERIEURE BOIS;78 jours;Mer 26/01/11;Mar 17/05/11;;
424;Pose blocs portes;8 jours;Mer 26/01/11;Ven 04/02/11;420;426FD+2 sm
425;Pose portes ;3 jours;Mer 16/03/11;Ven 18/03/11;443FD-2 sm;427
426;Pose trappes de visite;3 jours;Lun 21/02/11;Mer 23/02/11;424FD+2 sm;
427;Pose garde-corps escalier duplex;4 jours;Lun 21/03/11;Jeu 24/03/11;425;
428;Pose plinthes bois;2 sm;Mer 27/04/11;Mar 10/05/11;437;429
429;Equipements / Quincaillerie des portes;1 sm;Mer 11/05/11;Mar 17/05/11;428;455
430;09 / CARRELAGE - FAÏENCE;48 jours;Mer 08/12/10;Ven 25/02/11;;
431;Choix carrelage MO / Moe;0 jour;Mer 08/12/10;Mer 08/12/10;432DD-5 sm;
432;Pose carrelage;13 jours;Mer 26/01/11;Ven 11/02/11;420;"433FD-1 sm;431DD-5 sm"
433;Pose faïence;2 sm;Lun 07/02/11;Ven 18/02/11;432FD-1 sm;434
434;Finitions;1 sm;Lun 21/02/11;Ven 25/02/11;433;
435;10 / SOLS COLLES;18 jours;Mer 30/03/11;Mar 26/04/11;;
436;Ragréage;8 jours;Mer 30/03/11;Ven 08/04/11;443;"439DD;437"
437;Pose revêtement de sol souple;10 jours;Lun 11/04/11;Mar 26/04/11;436;"428;438FF"
438;Pose revêtement sur escaliers;2 jours;Jeu 21/04/11;Mar 26/04/11;437FF;
439;Traitement d'imperméabilisation dans douches;3 jours;Mer 30/03/11;Ven 01/04/11;436DD;440FD+3 jours
440;Pose revêtement dans douche;4 jours;Jeu 07/04/11;Mar 12/04/11;439FD+3 jours;
441;11 / PEINTURE;40 jours;Mer 23/02/11;Mar 19/04/11;;
442;Préparations;2 sm;Mer 23/02/11;Mar 08/03/11;422;443
443;Peinture plafonds / murs logements;3 sm;Mer 09/03/11;Mar 29/03/11;442;"425FD-2 sm;436;444"
444;Peinture plafonds / murs communs;2 sm;Mer 30/03/11;Mar 12/04/11;443;"418FD+1 sm;445FD-1 sm;446"
445;Peinture sur ouvrages bois;2 sm;Mer 06/04/11;Mar 19/04/11;444FD-1 sm;
446;Peinture tuyauteries;1 sm;Mer 13/04/11;Mar 19/04/11;444;
447;12 / ECHAFAUDAGE;56 jours;Ven 15/10/10;Mer 19/01/11;;
448;Montage échafaudage;1 sm;Ven 15/10/10;Jeu 21/10/10;390FD+2 sm;"391;405;412FD+2 sm"
449;Démontage échafaudage;1 sm;Jeu 13/01/11;Mer 19/01/11;452;"417;453;472FD+12 jours"
450;13 / ENDUIT EXTERIEUR;30 jours;Jeu 02/12/10;Mer 26/01/11;;
451;Crépis;1 sm;Jeu 02/12/10;Mer 08/12/10;363;"452FD+2 sm;392FD+2 jours"
452;Peinture;1 sm;Jeu 06/01/11;Mer 12/01/11;451FD+2 sm;"449;407"
453;Finitions;1 sm;Jeu 20/01/11;Mer 26/01/11;449;
454;15 / NETTOYAGE ;8 jours;Mer 18/05/11;Ven 27/05/11;;
455;Nettoyage complet du bâtiment;8 jours;Mer 18/05/11;Ven 27/05/11;429;467
456;16 / CHAUFFAGE - VENTILATION - SANITAIRE - SOLAIRE;200 jours;Ven 25/06/10;Jeu 12/05/11;;
457;Incorporations GO;3 mois;Ven 25/06/10;Jeu 07/10/10;385DD;458
458;Distribution;6 mois;Ven 08/10/10;Mar 12/04/11;457;459FD-2 sm
459;Appareillage ;3 sm;Mer 30/03/11;Mar 19/04/11;458FD-2 sm;
460;Essais techniques;1 sm;Ven 06/05/11;Jeu 12/05/11;466DD;
461;17 / ELECTRICITE;198 jours;Ven 25/06/10;Mar 10/05/11;;
462;Incorporations GO;3 mois;Ven 25/06/10;Jeu 07/10/10;385DD;463
463;Distribution;6 mois;Ven 08/10/10;Mar 12/04/11;462;464FD-2 sm
464;Appareillage ;3 sm;Mer 30/03/11;Mar 19/04/11;463FD-2 sm;465
465;CONSUEL;2 sm;Mer 20/04/11;Jeu 05/05/11;464;466
466;Essais techniques;3 jours;Ven 06/05/11;Mar 10/05/11;465;460DD
467;OPR ;0 jour;Ven 27/05/11;Ven 27/05/11;455;468
468;PARACHEVEMENT;3 sm;Lun 30/05/11;Mer 22/06/11;467;469
469;RECEPTION BATIMENT A;0 jour;Mer 22/06/11;Mer 22/06/11;468;
470;;;;;;
471;02 / AMENAGEMENTS EXTERIEURS - VRD - ESPACES VERTS;100 jours;Lun 07/02/11;Ven 01/07/11;;
472;Assainissment & raccordement EP ;3 sm;Lun 07/02/11;Ven 25/02/11;449FD+12 jours;473FD-2 sm
473;Réseaux EU/EV;4 sm;Lun 14/02/11;Ven 11/03/11;472FD-2 sm;474FD-2 sm
474;Réseaux secs (gaz, élec, etc…) & AEP;4 sm;Lun 28/02/11;Ven 25/03/11;473FD-2 sm;475FD-1 sm
475;Terrassements / plate formes;2 sm;Lun 21/03/11;Ven 01/04/11;474FD-1 sm;476FD-1 sm
476;Bordures, pavés, etc…;4 sm;Lun 28/03/11;Mar 26/04/11;475FD-1 sm;477
477;Mise en œuvre terre végétale;1 sm;Mer 27/04/11;Mar 03/05/11;476;478
478;Engazonnement / Plantations;1 sm;Mer 04/05/11;Mar 10/05/11;477;479
479;Reprofilage plate formes;1 sm;Mer 11/05/11;Mar 17/05/11;478;480
480;Enrobés;1 sm;Mer 18/05/11;Mar 24/05/11;479;481
481;Traçage & finitions;2 sm;Mer 25/05/11;Jeu 09/06/11;480;482
482;RECEPTION AMENAGEMENTS EXTERIEURS;3 sm;Ven 10/06/11;Ven 01/07/11;481;
