N°;Nom;Durée;Début;Fin;Prédécesseurs;Successeurs
298;HORS D'AIR;0 jour;Ven 10/06/11;Ven 10/06/11;297;299
299;Tâches non ciritiques sur consignes OPC;12 sm;Lun 13/06/11;Ven 02/09/11;298;
300;322 - FACADES / BARDAGES METALLIQUES;80 jours;Lun 02/05/11;Ven 19/08/11;;
301;Tâches Critiques;20 jours;Lun 02/05/11;Ven 27/05/11;290;"279;305DD+10 jours;302"
302;HORS D'AIR;0 jour;Ven 27/05/11;Ven 27/05/11;301;"287;303;309"
303;Tâches non ciritiques sur consignes OPC;12 sm;Lun 30/05/11;Ven 19/08/11;302;
304;323 - FACADES BOIS;50 jours;Lun 16/05/11;Ven 22/07/11;;
305;Tâches Critiques;2 sm;Lun 16/05/11;Ven 27/05/11;301DD+10 jours;306
306;HORS D'AIR;0 jour;Ven 27/05/11;Ven 27/05/11;305;307FD+20 jours
307;Tâches non ciritiques sur consignes OPC;4 sm;Lun 27/06/11;Ven 22/07/11;306FD+20 jours;
308;324 - PORTES INDUSTRIELLES;50 jours;Lun 30/05/11;Ven 05/08/11;;
309;Tâches Critiques;3 sm;Lun 30/05/11;Ven 17/06/11;302;310FD+20 jours
310;Tâches non ciritiques sur consignes OPC;3 sm;Lun 18/07/11;Ven 05/08/11;309FD+20 jours;
311;330 - SERRURERIE / METALLERIE;70 jours;Lun 20/06/11;Ven 23/09/11;;
312;Tâches Critiques;4 sm;Lun 20/06/11;Ven 15/07/11;287;313
313;Tâches non ciritiques sur consignes OPC;10 sm;Lun 18/07/11;Ven 23/09/11;312;
314;331 - CLOISONS;30 jours;Lun 20/06/11;Ven 29/07/11;;
315;Tâches Critiques;4 sm;Lun 20/06/11;Ven 15/07/11;287;"316;321;327"
316;Tâches non ciritiques sur consignes OPC;2 sm;Lun 18/07/11;Ven 29/07/11;315;
317;332 - FAUX-PLAFONDS;30 jours;Lun 05/09/11;Ven 14/10/11;;
318;Tâches Critiques;3 sm;Lun 05/09/11;Ven 23/09/11;330;"319;324"
319;Tâches non ciritiques sur consignes OPC;3 sm;Lun 26/09/11;Ven 14/10/11;318;
320;333 - MENUISERIE INTERIEURE BOIS / AGENCEMENT;75 jours;Lun 18/07/11;Ven 28/10/11;;
321;Tâches Critiques;3 sm;Lun 18/07/11;Ven 05/08/11;315;"322FD+30 jours;330"
322;Tâches non ciritiques sur consignes OPC;6 sm;Lun 19/09/11;Ven 28/10/11;321FD+30 jours;
323;334 - REVÊTEMENT SOL SOUPLE;25 jours;Lun 26/09/11;Ven 28/10/11;;
324;Tâches Critiques;3 sm;Lun 26/09/11;Ven 14/10/11;318;325
325;Tâches non ciritiques sur consignes OPC;2 sm;Lun 17/10/11;Ven 28/10/11;324;
326;335 - CARRELAGE / FAÏENCE;60 jours;Lun 18/07/11;Ven 07/10/11;;
327;Tâches Critiques;4 sm;Lun 18/07/11;Ven 12/08/11;315;328FD+30 jours
328;Tâches non ciritiques sur consignes OPC;2 sm;Lun 26/09/11;Ven 07/10/11;327FD+30 jours;
329;336 - PEINTURE;50 jours;Lun 08/08/11;Ven 14/10/11;;
330;Tâches Critiques;4 sm;Lun 08/08/11;Ven 02/09/11;321;"318;331"
331;Tâches non ciritiques sur consignes OPC;6 sm;Lun 05/09/11;Ven 14/10/11;330;"333;344FF;345FF"
332;337 - NETTOYAGE;35 jours;Lun 17/10/11;Ven 02/12/11;;
333;Nettoyage avant OPR;1 sm;Lun 17/10/11;Ven 21/10/11;331;"346FD+5 jours;334FD+25 jours"
334;Nettoyage avant RECEPTION;1 sm;Lun 28/11/11;Ven 02/12/11;333FD+25 jours;
335;340 - GENIE CLIMATIQUE;170 jours;Lun 21/02/11;Ven 14/10/11;;
336;Travaux sur consignes OPC;26 sm;Lun 21/02/11;Ven 19/08/11;284DD;337
337;Essais / Mise en service;8 sm;Lun 22/08/11;Ven 14/10/11;336;
338;341 - INSTALLATIONS SANITAIRES / AIR COMPRIME;170 jours;Lun 21/02/11;Ven 14/10/11;;
339;Travaux sur consignes OPC;26 sm;Lun 21/02/11;Ven 19/08/11;284DD;340
340;Essais / Mise en service;8 sm;Lun 22/08/11;Ven 14/10/11;339;
341;342 - ELECTRICITE;170 jours;Lun 21/02/11;Ven 14/10/11;;
342;Travaux sur consignes OPC;26 sm;Lun 21/02/11;Ven 19/08/11;284DD;343
343;Essais / Mise en service;8 sm;Lun 22/08/11;Ven 14/10/11;342;
344;351 - SIGNALETIQUE;3 sm;Lun 26/09/11;Ven 14/10/11;331FF;
345;352 - EXTINCTEURS / SIGNALETIQUE DE SECURITE;3 sm;Lun 26/09/11;Ven 14/10/11;331FF;
346;O.P.R.;0 jour;Ven 28/10/11;Ven 28/10/11;333FD+5 jours;347
347;PARACHEVEMENT;4 sm;Lun 31/10/11;Ven 25/11/11;346;348
348;RECEPTION;0 jour;Ven 25/11/11;Ven 25/11/11;347;349
349;LEVEE DES RESERVES;4 sm;Lun 28/11/11;Ven 23/12/11;348;350
350;LIVRAISON;0 jour;Ven 23/12/11;Ven 23/12/11;349;
351;;;;;;
352;BASCULEMENT PHASE 1B / 2A;9 sm;Lun 28/11/11;Ven 27/01/12;194;"358DD;359"
353;;;;;;
354;PHASE 2;560 jours;Lun 28/11/11;Ven 17/01/14;;
355;;;;;;
356;PHASE 2A;120 jours;Lun 28/11/11;Ven 11/05/12;;
357;301 - DEMOLITION / DESAMIANTAGE;120 jours;Lun 28/11/11;Ven 11/05/12;;
358;Dépôt Plan de Retrait Phase 2A;0 jour;Lun 28/11/11;Lun 28/11/11;352DD;
359;Déolition Bâtiment EMOP;6 sm;Lun 30/01/12;Ven 09/03/12;352;"360DD+5 jours;363DF;366DF;369DF"
360;Désamiantage Noyau Central;6 sm;Lun 06/02/12;Ven 16/03/12;359DD+5 jours;361
361;Démolition Noyau Central;8 sm;Lun 19/03/12;Ven 11/05/12;360;"364DF-10 jours;367DF-10 jours;370DF-10 jours;375"
362;340 - GENIE CLIMATIQUE;35 jours;Lun 16/01/12;Lun 05/03/12;;
363;Consignations & dévoiements EMOP;2 sm;Lun 16/01/12;Lun 30/01/12;359DF;
364;Consignations & dévoiements Noyau Central;2 sm;Lun 20/02/12;Lun 05/03/12;361DF-10 jours;
365;341 - INSTALLATIONS SANITAIRES / AIR COMPRIME;35 jours;Lun 16/01/12;Lun 05/03/12;;
366;Consignations & dévoiements EMOP;2 sm;Lun 16/01/12;Lun 30/01/12;359DF;
367;Consignations & dévoiements Noyau Central;2 sm;Lun 20/02/12;Lun 05/03/12;361DF-10 jours;
368;342 - ELECTRICITE;35 jours;Lun 16/01/12;Lun 05/03/12;;
369;Consignations & dévoiements EMOP;2 sm;Lun 16/01/12;Lun 30/01/12;359DF;
370;Consignations & dévoiements Noyau Central;2 sm;Lun 20/02/12;Lun 05/03/12;361DF-10 jours;
371;;;;;;
372;PHASE 2B;440 jours;Lun 14/05/12;Ven 17/01/14;;
373;;;;;;
374;302 - TERRASSEMENTS / V.R.D.;60 jours;Lun 14/05/12;Ven 03/08/12;;
375;Plate-forme Bât N2 & M;4 sm;Lun 14/05/12;Ven 08/06/12;361;"376;465FD+10 jours;386"
376;Plate-forme Bât K2 & J;4 sm;Lun 11/06/12;Ven 06/07/12;375;377
377;Plate-forme Bât R2;4 sm;Lun 09/07/12;Ven 03/08/12;376;546
378;;;;;;
379;CONSTRUCTION BÂTIMENT M : Bâtiment BBC y/c Réception;340 jours;Lun 11/06/12;Ven 27/09/13;;
380;302 - TERRASSEMENTS / V.R.D.;100 jours;Lun 24/12/12;Ven 10/05/13;;
381;Tâches Critiques;8 sm;Lun 24/12/12;Ven 15/02/13;404;382FD+30 jours
382;Tâches non ciritiques sur consignes OPC;6 sm;Lun 01/04/13;Ven 10/05/13;381FD+30 jours;384
383;303 - ESPACES VERTS;20 jours;Lun 13/05/13;Ven 07/06/13;;
384;Tâches non ciritiques sur consignes OPC;4 sm;Lun 13/05/13;Ven 07/06/13;382;
385;310 - GROS-ŒUVRE;160 jours;Lun 11/06/12;Ven 18/01/13;;
386;Tâches Critiques;12 sm;Lun 11/06/12;Ven 31/08/12;375;"387;392;439DD;442DD;445DD"
387;Tâches non ciritiques sur consignes OPC;20 sm;Lun 03/09/12;Ven 18/01/13;386;
388;311 - DALLAGE INDUSTRIEL;140 jours;Lun 24/12/12;Ven 05/07/13;;
389;Tâches Critiques;4 sm;Lun 24/12/12;Ven 18/01/13;"396;405";"390FD+20 sm;418;415;450FD+10 jours"
390;Tâches non ciritiques sur consignes OPC;4 sm;Lun 10/06/13;Ven 05/07/13;389FD+20 sm;
391;312 - CHARPENTE METALLIQUE;100 jours;Lun 03/09/12;Ven 18/01/13;;
392;Tâches Critiques;10 sm;Lun 03/09/12;Ven 09/11/12;386;"393;395;399;404"
393;Tâches non ciritiques sur consignes OPC;10 sm;Lun 12/11/12;Ven 18/01/13;392;
394;320 - COUVERTURE / ETANCHEITE;110 jours;Lun 12/11/12;Ven 12/04/13;;
395;Tâches Critiques;6 sm;Lun 12/11/12;Ven 21/12/12;392;396
396;HORS D'EAU;0 jour;Ven 21/12/12;Ven 21/12/12;395;"389;397"
397;Tâches non ciritiques sur consignes OPC;16 sm;Lun 24/12/12;Ven 12/04/13;396;
398;321 - MENUISERIE EXTERIEURE ALUMINIUM;140 jours;Lun 12/11/12;Ven 24/05/13;;
399;Tâches Critiques;10 sm;Lun 12/11/12;Ven 18/01/13;392;400
400;HORS D'AIR;0 jour;Ven 18/01/13;Ven 18/01/13;399;401
401;TEST D'ETANCHEITE;4 sm;Lun 21/01/13;Ven 15/02/13;400;402
402;Tâches non ciritiques sur consignes OPC;14 sm;Lun 18/02/13;Ven 24/05/13;401;
403;322 - FACADES / BARDAGES METALLIQUES;90 jours;Lun 12/11/12;Ven 15/03/13;;
404;Tâches Critiques;6 sm;Lun 12/11/12;Ven 21/12/12;392;"381;408DD+10 jours;405"
405;HORS D'AIR;0 jour;Ven 21/12/12;Ven 21/12/12;404;"389;406;412"
406;Tâches non ciritiques sur consignes OPC;12 sm;Lun 24/12/12;Ven 15/03/13;405;
407;323 - FACADES BOIS;70 jours;Lun 26/11/12;Ven 01/03/13;;
408;Tâches Critiques;4 sm;Lun 26/11/12;Ven 21/12/12;404DD+10 jours;409
409;HORS D'AIR;0 jour;Ven 21/12/12;Ven 21/12/12;408;410FD+20 jours
410;Tâches non ciritiques sur consignes OPC;6 sm;Lun 21/01/13;Ven 01/03/13;409FD+20 jours;
411;324 - PORTES INDUSTRIELLES;60 jours;Lun 24/12/12;Ven 15/03/13;;
412;Tâches Critiques;4 sm;Lun 24/12/12;Ven 18/01/13;405;413FD+20 jours
413;Tâches non ciritiques sur consignes OPC;4 sm;Lun 18/02/13;Ven 15/03/13;412FD+20 jours;
414;330 - SERRURERIE / METALLERIE;80 jours;Lun 21/01/13;Ven 10/05/13;;
415;Tâches Critiques;6 sm;Lun 21/01/13;Ven 01/03/13;389;416
416;Tâches non ciritiques sur consignes OPC;10 sm;Lun 04/03/13;Ven 10/05/13;415;
417;331 - CLOISONS;50 jours;Lun 21/01/13;Ven 29/03/13;;
418;Tâches Critiques;8 sm;Lun 21/01/13;Ven 15/03/13;389;"419;424;430"
419;Tâches non ciritiques sur consignes OPC;2 sm;Lun 18/03/13;Ven 29/03/13;418;
420;332 - FAUX-PLAFONDS;50 jours;Lun 27/05/13;Ven 02/08/13;;
421;Tâches Critiques;6 sm;Lun 27/05/13;Ven 05/07/13;433;"422;427"
422;Tâches non ciritiques sur consignes OPC;4 sm;Lun 08/07/13;Ven 02/08/13;421;
423;333 - MENUISERIE INTERIEURE BOIS / AGENCEMENT;100 jours;Lun 18/03/13;Ven 02/08/13;;
424;Tâches Critiques;4 sm;Lun 18/03/13;Ven 12/04/13;418;"425FD+30 jours;433"
425;Tâches non ciritiques sur consignes OPC;10 sm;Lun 27/05/13;Ven 02/08/13;424FD+30 jours;
426;334 - REVÊTEMENT SOL SOUPLE;35 jours;Lun 08/07/13;Ven 23/08/13;;
427;Tâches Critiques;4 sm;Lun 08/07/13;Ven 02/08/13;421;428
428;Tâches non ciritiques sur consignes OPC;3 sm;Lun 05/08/13;Ven 23/08/13;427;
429;335 - CARRELAGE / FAÏENCE;60 jours;Lun 18/03/13;Ven 07/06/13;;
430;Tâches Critiques;4 sm;Lun 18/03/13;Ven 12/04/13;418;431FD+30 jours
431;Tâches non ciritiques sur consignes OPC;2 sm;Lun 27/05/13;Ven 07/06/13;430FD+30 jours;
432;336 - PEINTURE;70 jours;Lun 15/04/13;Ven 19/07/13;;
433;Tâches Critiques;6 sm;Lun 15/04/13;Ven 24/05/13;424;"421;434"
434;Tâches non ciritiques sur consignes OPC;8 sm;Lun 27/05/13;Ven 19/07/13;433;"436;447FF;448FF"
435;337 - NETTOYAGE;35 jours;Lun 22/07/13;Ven 06/09/13;;
436;Nettoyage avant OPR;1 sm;Lun 22/07/13;Ven 26/07/13;434;"452FD+5 jours;437FD+25 jours"
437;Nettoyage avant RECEPTION;1 sm;Lun 02/09/13;Ven 06/09/13;436FD+25 jours;
438;340 - GENIE CLIMATIQUE;290 jours;Lun 11/06/12;Ven 19/07/13;;
439;Travaux sur consignes OPC;50 sm;Lun 11/06/12;Ven 24/05/13;386DD;440
440;Essais / Mise en service;8 sm;Lun 27/05/13;Ven 19/07/13;439;
441;341 - INSTALLATIONS SANITAIRES / AIR COMPRIME;290 jours;Lun 11/06/12;Ven 19/07/13;;
442;Travaux sur consignes OPC;50 sm;Lun 11/06/12;Ven 24/05/13;386DD;443
443;Essais / Mise en service;8 sm;Lun 27/05/13;Ven 19/07/13;442;
444;342 - ELECTRICITE;290 jours;Lun 11/06/12;Ven 19/07/13;;
445;Travaux sur consignes OPC;50 sm;Lun 11/06/12;Ven 24/05/13;386DD;446
446;Essais / Mise en service;8 sm;Lun 27/05/13;Ven 19/07/13;445;
447;351 - SIGNALETIQUE;3 sm;Lun 01/07/13;Ven 19/07/13;434FF;
448;352 - EXTINCTEURS / SIGNALETIQUE DE SECURITE;3 sm;Lun 01/07/13;Ven 19/07/13;434FF;
449;356 - PONTS ROULANTS;70 jours;Lun 04/02/13;Ven 10/05/13;;
450;Tâches Critiques;4 sm;Lun 04/02/13;Ven 01/03/13;389FD+10 jours;451FD+30 jours
451;Tâches non ciritiques sur consignes OPC;4 sm;Lun 15/04/13;Ven 10/05/13;450FD+30 jours;
452;O.P.R.;0 jour;Ven 02/08/13;Ven 02/08/13;436FD+5 jours;453
453;PARACHEVEMENT;4 sm;Lun 05/08/13;Ven 30/08/13;452;454
454;RECEPTION;0 jour;Ven 30/08/13;Ven 30/08/13;453;455
455;LEVEE DES RESERVES;4 sm;Lun 02/09/13;Ven 27/09/13;454;456
456;LIVRAISON;0 jour;Ven 27/09/13;Ven 27/09/13;455;
457;;;;;;
458;CONSTRUCTION BÂTIMENT N2 : BOIS - COUVERTURE y/c Réception;340 jours;Lun 25/06/12;Ven 11/10/13;;
459;302 - TERRASSEMENTS / V.R.D.;100 jours;Lun 10/12/12;Ven 26/04/13;;
460;Tâches Critiques;8 sm;Lun 10/12/12;Ven 01/02/13;485;461FD+30 jours
461;Tâches non ciritiques sur consignes OPC;6 sm;Lun 18/03/13;Ven 26/04/13;460FD+30 jours;463
462;303 - ESPACES VERTS;20 jours;Lun 29/04/13;Ven 24/05/13;;
463;Tâches non ciritiques sur consignes OPC;4 sm;Lun 29/04/13;Ven 24/05/13;461;
464;310 - GROS-ŒUVRE;150 jours;Lun 25/06/12;Ven 18/01/13;;
465;Tâches Critiques;10 sm;Lun 25/06/12;Ven 31/08/12;375FD+10 jours;"466;471;520DD;523DD;526DD"
466;Tâches non ciritiques sur consignes OPC;20 sm;Lun 03/09/12;Ven 18/01/13;465;
467;311 - DALLAGE INDUSTRIEL;140 jours;Lun 07/01/13;Ven 19/07/13;;
468;Tâches Critiques;4 sm;Lun 07/01/13;Ven 01/02/13;"478;486";"469FD+20 sm;499;496;531FD+10 jours"
469;Tâches non ciritiques sur consignes OPC;4 sm;Lun 24/06/13;Ven 19/07/13;468FD+20 sm;
470;312 - CHARPENTE METALLIQUE;90 jours;Lun 03/09/12;Ven 04/01/13;;
471;Tâches Critiques;8 sm;Lun 03/09/12;Ven 26/10/12;465;"472;481;485;474DD+4 sm"
472;Tâches non ciritiques sur consignes OPC;10 sm;Lun 29/10/12;Ven 04/01/13;471;
473;313 - CHARPENTE BOIS;90 jours;Lun 01/10/12;Ven 01/02/13;;
474;Tâches Critiques;8 sm;Lun 01/10/12;Ven 23/11/12;471DD+4 sm;"475;477"
475;Tâches non ciritiques sur consignes OPC;10 sm;Lun 26/11/12;Ven 01/02/13;474;
476;320 - COUVERTURE / ETANCHEITE;110 jours;Lun 26/11/12;Ven 26/04/13;;
477;Tâches Critiques;6 sm;Lun 26/11/12;Ven 04/01/13;474;478
478;HORS D'EAU;0 jour;Ven 04/01/13;Ven 04/01/13;477;"468;479"
479;Tâches non ciritiques sur consignes OPC;16 sm;Lun 07/01/13;Ven 26/04/13;478;
480;321 - MENUISERIE EXTERIEURE ALUMINIUM;110 jours;Lun 29/10/12;Ven 29/03/13;;
481;Tâches Critiques;6 sm;Lun 29/10/12;Ven 07/12/12;471;482
482;HORS D'AIR;0 jour;Ven 07/12/12;Ven 07/12/12;481;483
483;Tâches non ciritiques sur consignes OPC;16 sm;Lun 10/12/12;Ven 29/03/13;482;
484;322 - FACADES / BARDAGES METALLIQUES;90 jours;Lun 29/10/12;Ven 01/03/13;;
485;Tâches Critiques;6 sm;Lun 29/10/12;Ven 07/12/12;471;"460;489DD+10 jours;486"
486;HORS D'AIR;0 jour;Ven 07/12/12;Ven 07/12/12;485;"468;487;493"
487;Tâches non ciritiques sur consignes OPC;12 sm;Lun 10/12/12;Ven 01/03/13;486;
488;323 - FACADES BOIS;70 jours;Lun 12/11/12;Ven 15/02/13;;
489;Tâches Critiques;4 sm;Lun 12/11/12;Ven 07/12/12;485DD+10 jours;490
490;HORS D'AIR;0 jour;Ven 07/12/12;Ven 07/12/12;489;491FD+20 jours
491;Tâches non ciritiques sur consignes OPC;6 sm;Lun 07/01/13;Ven 15/02/13;490FD+20 jours;
492;324 - PORTES INDUSTRIELLES;60 jours;Lun 10/12/12;Ven 01/03/13;;
493;Tâches Critiques;4 sm;Lun 10/12/12;Ven 04/01/13;486;494FD+20 jours
494;Tâches non ciritiques sur consignes OPC;4 sm;Lun 04/02/13;Ven 01/03/13;493FD+20 jours;
495;330 - SERRURERIE / METALLERIE;80 jours;Lun 04/02/13;Ven 24/05/13;;
496;Tâches Critiques;6 sm;Lun 04/02/13;Ven 15/03/13;468;497
497;Tâches non ciritiques sur consignes OPC;10 sm;Lun 18/03/13;Ven 24/05/13;496;
498;331 - CLOISONS;50 jours;Lun 04/02/13;Ven 12/04/13;;
499;Tâches Critiques;8 sm;Lun 04/02/13;Ven 29/03/13;468;"500;505;511"
500;Tâches non ciritiques sur consignes OPC;2 sm;Lun 01/04/13;Ven 12/04/13;499;
501;332 - FAUX-PLAFONDS;50 jours;Lun 10/06/13;Ven 16/08/13;;
502;Tâches Critiques;6 sm;Lun 10/06/13;Ven 19/07/13;514;"503;508"
503;Tâches non ciritiques sur consignes OPC;4 sm;Lun 22/07/13;Ven 16/08/13;502;
504;333 - MENUISERIE INTERIEURE BOIS / AGENCEMENT;100 jours;Lun 01/04/13;Ven 16/08/13;;
505;Tâches Critiques;4 sm;Lun 01/04/13;Ven 26/04/13;499;"506FD+30 jours;514"
506;Tâches non ciritiques sur consignes OPC;10 sm;Lun 10/06/13;Ven 16/08/13;505FD+30 jours;
507;334 - REVÊTEMENT SOL SOUPLE;35 jours;Lun 22/07/13;Ven 06/09/13;;
508;Tâches Critiques;4 sm;Lun 22/07/13;Ven 16/08/13;502;509
509;Tâches non ciritiques sur consignes OPC;3 sm;Lun 19/08/13;Ven 06/09/13;508;
510;335 - CARRELAGE / FAÏENCE;60 jours;Lun 01/04/13;Ven 21/06/13;;
511;Tâches Critiques;4 sm;Lun 01/04/13;Ven 26/04/13;499;512FD+30 jours
512;Tâches non ciritiques sur consignes OPC;2 sm;Lun 10/06/13;Ven 21/06/13;511FD+30 jours;
513;336 - PEINTURE;70 jours;Lun 29/04/13;Ven 02/08/13;;
514;Tâches Critiques;6 sm;Lun 29/04/13;Ven 07/06/13;505;"502;515"
515;Tâches non ciritiques sur consignes OPC;8 sm;Lun 10/06/13;Ven 02/08/13;514;"517;528FF;529FF"
516;337 - NETTOYAGE;35 jours;Lun 05/08/13;Ven 20/09/13;;
517;Nettoyage avant OPR;1 sm;Lun 05/08/13;Ven 09/08/13;515;"533FD+5 jours;518FD+25 jours"
518;Nettoyage avant RECEPTION;1 sm;Lun 16/09/13;Ven 20/09/13;517FD+25 jours;
519;340 - GENIE CLIMATIQUE;290 jours;Lun 25/06/12;Ven 02/08/13;;
520;Travaux sur consignes OPC;50 sm;Lun 25/06/12;Ven 07/06/13;465DD;521
521;Essais / Mise en service;8 sm;Lun 10/06/13;Ven 02/08/13;520;
522;341 - INSTALLATIONS SANITAIRES / AIR COMPRIME;290 jours;Lun 25/06/12;Ven 02/08/13;;
523;Travaux sur consignes OPC;50 sm;Lun 25/06/12;Ven 07/06/13;465DD;524
524;Essais / Mise en service;8 sm;Lun 10/06/13;Ven 02/08/13;523;
525;342 - ELECTRICITE;290 jours;Lun 25/06/12;Ven 02/08/13;;
526;Travaux sur consignes OPC;50 sm;Lun 25/06/12;Ven 07/06/13;465DD;527
527;Essais / Mise en service;8 sm;Lun 10/06/13;Ven 02/08/13;526;
528;351 - SIGNALETIQUE;3 sm;Lun 15/07/13;Ven 02/08/13;515FF;
529;352 - EXTINCTEURS / SIGNALETIQUE DE SECURITE;3 sm;Lun 15/07/13;Ven 02/08/13;515FF;
530;356 - PONTS ROULANTS;70 jours;Lun 18/02/13;Ven 24/05/13;;
531;Tâches Critiques;4 sm;Lun 18/02/13;Ven 15/03/13;468FD+10 jours;532FD+30 jours
532;Tâches non ciritiques sur consignes OPC;4 sm;Lun 29/04/13;Ven 24/05/13;531FD+30 jours;
533;O.P.R.;0 jour;Ven 16/08/13;Ven 16/08/13;517FD+5 jours;534
534;PARACHEVEMENT;4 sm;Lun 19/08/13;Ven 13/09/13;533;535
535;RECEPTION;0 jour;Ven 13/09/13;Ven 13/09/13;534;536
536;LEVEE DES RESERVES;4 sm;Lun 16/09/13;Ven 11/10/13;535;537
537;LIVRAISON;0 jour;Ven 11/10/13;Ven 11/10/13;536;
538;;;;;;
539;CONSTRUCTION BÂTIMENT K2 (ENERGIE) & J (ELECTROTECHNIQUE) y/c Réception;340 jours;Lun 06/08/12;Ven 22/11/13;;
540;302 - TERRASSEMENTS / V.R.D.;100 jours;Lun 18/02/13;Ven 05/07/13;;
541;Tâches Critiques;8 sm;Lun 18/02/13;Ven 12/04/13;566;542FD+30 jours
542;Tâches non ciritiques sur consignes OPC;6 sm;Lun 27/05/13;Ven 05/07/13;541FD+30 jours;544
543;303 - ESPACES VERTS;20 jours;Lun 08/07/13;Ven 02/08/13;;
544;Tâches non ciritiques sur consignes OPC;4 sm;Lun 08/07/13;Ven 02/08/13;542;
545;310 - GROS-ŒUVRE;160 jours;Lun 06/08/12;Ven 15/03/13;;
546;Tâches Critiques;12 sm;Lun 06/08/12;Ven 26/10/12;377;"547;552;601DD;604DD;607DD;627DD+20 jours"
547;Tâches non ciritiques sur consignes OPC;20 sm;Lun 29/10/12;Ven 15/03/13;546;
548;311 - DALLAGE INDUSTRIEL;140 jours;Lun 18/02/13;Ven 30/08/13;;
549;Tâches Critiques;4 sm;Lun 18/02/13;Ven 15/03/13;"559;567";"550FD+20 sm;580;577"
550;Tâches non ciritiques sur consignes OPC;4 sm;Lun 05/08/13;Ven 30/08/13;549FD+20 sm;
551;312 - CHARPENTE METALLIQUE;100 jours;Lun 29/10/12;Ven 15/03/13;;
552;Tâches Critiques;10 sm;Lun 29/10/12;Ven 04/01/13;546;"553;558;562;566;555DD"
553;Tâches non ciritiques sur consignes OPC;10 sm;Lun 07/01/13;Ven 15/03/13;552;
554;313 - CHARPENTE BOIS;100 jours;Lun 29/10/12;Ven 15/03/13;;
555;Tâches Critiques;10 sm;Lun 29/10/12;Ven 04/01/13;552DD;556
556;Tâches non ciritiques sur consignes OPC;10 sm;Lun 07/01/13;Ven 15/03/13;555;
557;320 - COUVERTURE / ETANCHEITE;110 jours;Lun 07/01/13;Ven 07/06/13;;
558;Tâches Critiques;6 sm;Lun 07/01/13;Ven 15/02/13;552;559
559;HORS D'EAU;0 jour;Ven 15/02/13;Ven 15/02/13;558;"549;560;610FD+20 jours"
560;Tâches non ciritiques sur consignes OPC;16 sm;Lun 18/02/13;Ven 07/06/13;559;
561;321 - MENUISERIE EXTERIEURE ALUMINIUM;130 jours;Lun 07/01/13;Ven 05/07/13;;
562;Tâches Critiques;10 sm;Lun 07/01/13;Ven 15/03/13;552;563
563;HORS D'AIR;0 jour;Ven 15/03/13;Ven 15/03/13;562;564
564;Tâches non ciritiques sur consignes OPC;16 sm;Lun 18/03/13;Ven 05/07/13;563;
565;322 - FACADES / BARDAGES METALLIQUES;90 jours;Lun 07/01/13;Ven 10/05/13;;
566;Tâches Critiques;6 sm;Lun 07/01/13;Ven 15/02/13;552;"541;570DD+10 jours;567"
567;HORS D'AIR;0 jour;Ven 15/02/13;Ven 15/02/13;566;"549;568;574"
568;Tâches non ciritiques sur consignes OPC;12 sm;Lun 18/02/13;Ven 10/05/13;567;
569;323 - FACADES BOIS;70 jours;Lun 21/01/13;Ven 26/04/13;;
570;Tâches Critiques;4 sm;Lun 21/01/13;Ven 15/02/13;566DD+10 jours;571
571;HORS D'AIR;0 jour;Ven 15/02/13;Ven 15/02/13;570;572FD+20 jours
572;Tâches non ciritiques sur consignes OPC;6 sm;Lun 18/03/13;Ven 26/04/13;571FD+20 jours;
573;324 - PORTES INDUSTRIELLES;60 jours;Lun 18/02/13;Ven 10/05/13;;
574;Tâches Critiques;4 sm;Lun 18/02/13;Ven 15/03/13;567;575FD+20 jours
575;Tâches non ciritiques sur consignes OPC;4 sm;Lun 15/04/13;Ven 10/05/13;574FD+20 jours;
576;330 - SERRURERIE / METALLERIE;80 jours;Lun 18/03/13;Ven 05/07/13;;
577;Tâches Critiques;6 sm;Lun 18/03/13;Ven 26/04/13;549;578
578;Tâches non ciritiques sur consignes OPC;10 sm;Lun 29/04/13;Ven 05/07/13;577;
579;331 - CLOISONS;50 jours;Lun 18/03/13;Ven 24/05/13;;
580;Tâches Critiques;8 sm;Lun 18/03/13;Ven 10/05/13;549;"581;586;592"
581;Tâches non ciritiques sur consignes OPC;2 sm;Lun 13/05/13;Ven 24/05/13;580;
582;332 - FAUX-PLAFONDS;50 jours;Lun 22/07/13;Ven 27/09/13;;
583;Tâches Critiques;6 sm;Lun 22/07/13;Ven 30/08/13;595;"584;589"
584;Tâches non ciritiques sur consignes OPC;4 sm;Lun 02/09/13;Ven 27/09/13;583;
585;333 - MENUISERIE INTERIEURE BOIS / AGENCEMENT;100 jours;Lun 13/05/13;Ven 27/09/13;;
586;Tâches Critiques;4 sm;Lun 13/05/13;Ven 07/06/13;580;"587FD+30 jours;595"
587;Tâches non ciritiques sur consignes OPC;10 sm;Lun 22/07/13;Ven 27/09/13;586FD+30 jours;
588;334 - REVÊTEMENT SOL SOUPLE;35 jours;Lun 02/09/13;Ven 18/10/13;;
589;Tâches Critiques;4 sm;Lun 02/09/13;Ven 27/09/13;583;590
590;Tâches non ciritiques sur consignes OPC;3 sm;Lun 30/09/13;Ven 18/10/13;589;
591;335 - CARRELAGE / FAÏENCE;60 jours;Lun 13/05/13;Ven 02/08/13;;
