"N° ";"Désignation";"Durée";"Début Souhaité";"Fin Souhaitée";"Prédécesseurs";"Successeurs";"Crit1";"Désign Crit1";"Crit2";"Désign Crit2";"Crit3";"Désign Crit3";"Crit4";"Désign Crit4";"Code tâche";"Coût +";"Coût -";
"94";"Z3 - Chape forme de pente SdB chambres et sanitaires communs";"5";"";"";"76FD0,";"77FD0,79FD15,130FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"95";"Z3 - Réseau primaire chauffage en plénum";"10";"";"";"65FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"10385";"";
"96";"Z3 - Procédure de mise en chauffe";"24";"";"";"93FD0,";"53FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"97";"Z3 - Distributions primaires canalisations alims + évacuat.";"30";"";"";"65FD-10,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"15000";"";
"98";"Z3 - Distributions Primaires chemins de cables";"30";"";"";"65FD-10,";"";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"99";"Z3 - Distributions secondaires aux appareils sanitaires";"10";"";"";"66FD-14,";"91FD0,135FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"3461";"";
"100";"Z3 - Distributions secondaires gaines et filerie";"35";"";"";"63FD-15,";"91FD0,101FD0,109FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"10186.5";"";
"101";"Z3 - Pose des armoires et coffrets électriques";"3";"";"";"100FD0,";"137FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"7965";"";
"102";"Z3 - Sol souple des chambres";"10";"";"";"85FD0,";"138FD0,";"P-02---";"Exécution des Travaux";"I-11---";"Lot n° 09 - Revêtement sols souples";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"20000";"";
"103";"Z3 - Plafonds secondaires circulations";"10";"";"";"87FD0,";"104FD0,110FD-8,139FD0,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"104";"Z3 - Sols souples circulations";"5";"";"";"103FD0,";"140FD0,";"P-02---";"Exécution des Travaux";"I-11---";"Lot n° 09 - Revêtement sols souples";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"10150.75";"";
"105";"Z3 - Pose lustrerie";"10";"";"";"87FD0,";"106FD0,141FD0,150FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"16998";"";
"106";"Z3 - Signalétique et nettoyage OPR";"5";"";"";"105FD0,";"107FD0,142FD0,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"1207.5";"";
"107";"Z3 - Opérations préalables a la Réception des Travaux";"5";"";"";"106FD0,";"108FD0,143FD0,";"P-02---";"Exécution des Travaux";"I-01---";"Maîtrise d'ouvrage & maîtrise d'oeuvre";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"108";"Z3 - Finitions, levée des observations OPR";"10";"";"";"107FD0,";"144FD0,";"P-02---";"Exécution des Travaux";"I-02---";"Ensemble entreprises Tous Corps d' Etat";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"109";"Z3 - Distributions courants faibles";"15";"";"";"100FD0,";"145FD0,";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"110";"Z3 - Pose équipements courants faibles";"10";"";"";"103FD-8,";"146FD0,";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"111";"Z3 - Gaines C Faible incorporées dans cloisons sèches";"40";"";"";"63FD-10,";"147FD0,";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"112";"Z2 - Pose des syphons de sols SdB";"8";"";"";"76FD0,129FD-3,";"130FD-5,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"12074.4";"";
"113";"Z2 - Ragréage des SdB";"5";"";"";"77FD0,130FD0,";"114FD-5,";"P-02---";"Exécution des Travaux";"I-11---";"Lot n° 09 - Revêtement sols souples";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"114";"Z2 - Poncage chape des chambres";"8";"";"";"78FD0,113FD-5,";"117FD-5,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"115";"Z2 - Pose des revêtements sols et murs SdB";"20";"";"";"79FD0,117FD-5,130FD15,";"116FD-5,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"30000";"";
"116";"Z2 - Pose des plans vasques";"8";"";"";"80FD0,115FD-5,";"118FD-5,";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"20700";"";
"117";"Z2 - Préparation & peinture Plafonds + boiserie SdB";"12";"";"";"81FD0,114FD-5,";"115FD-5,120FD0,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"4366";"";
"118";"Z2 - Pose appareils sanitaires SdB";"10";"";"";"82FD0,116FD-5,";"119FD-5,209FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"36800";"";
"119";"Z2 - Pose appareils électriques";"10";"";"";"83FD0,118FD-5,";"";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"120";"Z2 - Préparations et peinture Plafonds chambres";"15";"";"";"84FD0,117FD0,";"122FD-10,196FD0,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"20000";"";
"121";"Z2 - Pose appareillages électriques chambres";"10";"";"";"85FD0,122FD-5,";"";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"18406";"";
"122";"Z2 - Peintures de finition sur murs et boiseries";"15";"";"";"86FD0,120FD-10,";"123FD-10,121FD-5,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"37356";"";
"123";"Z2 - Toile de verre et peinture circulations et locaux divers";"20";"";"";"87FD0,122FD-10,";"124FD-5,139FD-5,141FD-5,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"7023";"";
"124";"Z2 - Poncage sols circulations et locaux divers";"6";"";"";"88FD0,123FD-5,";"125FD-3,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"125";"Z2 - Sol durs et faïences sanitaires, offices";"8";"";"";"89FD0,124FD-3,";"126FD-3,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"2115";"";
"126";"Z2 - Pose appareils sanitaires locaux communs";"5";"";"";"90FD0,125FD-3,";"151FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"40145";"";
"127";"Z2 - Chape de ravoirage ensemble des locaux";"5";"";"";"91FD0,136FD-3,135FD0,";"128FD0,148FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"19814.4";"";
"128";"Z2 - Pose du plancher chauffant chambres et locaux annexes";"20";"";"";"92FD0,127FD0,";"129FD-5,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"124580";"";
"129";"Z2 - Chape d'enrobage du plancher chauffant chambres + lcx annexes.";"8";"";"";"93FD0,128FD-5,";"112FD-3,132FD0,75FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"27520";"";
"130";"Z2 - Chape forme de pente SdB chambres et sanitaires communs";"8";"";"";"94FD0,112FD-5,";"113FD0,115FD15,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"131";"Z2 - Réseau primaire chauffage en plénums";"6";"";"";"69FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"24924";"";
"132";"Z2 - Procédure de mise en chauffe";"21";"";"";"129FD0,";"138FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"133";"Z2 - Distributions primaires canalisations alims + évacuat.";"30";"";"";"69FD-15,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"50000";"";
"134";"Z2 - Distributions Primaires chemins de cables";"30";"";"";"69FD-15,";"";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"135";"Z2 - Distributions secondaires aux appareils sanitaires";"20";"";"";"99FD0,68FD0,";"127FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"41532";"";
"136";"Z2 - Distributions secondaires gaines et filerie";"45";"";"";"67FD-10,";"127FD-3,137FD0,145FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"37350.5";"";
"137";"Z2 - Pose des armoires et coffrets électriques";"5";"";"";"101FD0,136FD0,";"";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"13275";"";
"138";"Z2 - Sol souple des chambres";"18";"";"";"102FD0,132FD0,";"140FD0,";"P-02---";"Exécution des Travaux";"I-11---";"Lot n° 09 - Revêtement sols souples";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"50000";"";
"139";"Z2 - Plafonds secondaires circulations";"15";"";"";"103FD0,123FD-5,";"140FD-5,146FD-8,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"140";"Z2 - Sols souples circulations";"8";"";"";"104FD0,139FD-5,138FD0,";"";"P-02---";"Exécution des Travaux";"I-11---";"Lot n° 09 - Revêtement sols souples";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"20502.5";"";
"141";"Z2 - Pose lustrerie";"10";"";"";"105FD0,123FD-5,";"142FD0,150FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"42495";"";
"142";"Z2 - Signalétique et nettoyage OPR";"5";"";"";"106FD0,141FD0,";"143FD0,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"4830";"";
"143";"Z2 - Opérations préalables a la Réception des Travaux";"5";"";"";"107FD0,142FD0,";"144FD0,";"P-02---";"Exécution des Travaux";"I-01---";"Maîtrise d'ouvrage & maîtrise d'oeuvre";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"144";"Z2 - Finitions, levée des observations OPR";"10";"";"";"108FD0,143FD0,";"202FD0,";"P-02---";"Exécution des Travaux";"I-02---";"Ensemble entreprises Tous Corps d' Etat";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"145";"Z2 - Distributions courants faibles";"15";"";"";"109FD0,136FD0,";"";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"146";"Z2 - Pose équipements courants faibles";"10";"";"";"110FD0,139FD-8,";"";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"147";"Z2 - Gaines C Faible incorporées dans cloisons sèches";"35";"";"";"111FD0,";"";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"";"";
"148";"Z2 - Montage ascenseur, pose portes palières";"15";"";"";"127FD0,";"";"P-02---";"Exécution des Travaux";"I-18---";"Lot n° 16 - Ascenseur";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"15000";"";
"149";"Z2 - Essais et mise en service ascenseur";"5";"";"";"150FD0,";"";"P-02---";"Exécution des Travaux";"I-18---";"Lot n° 16 - Ascenseur";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"5000";"";
"150";"Essais et mises en service des installations Elec";"8";"";"";"141FD0,105FD0,";"149FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"32400";"";
"151";"Essais et mise en service Plomberie";"8";"";"";"183FD0,90FD0,126FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"";"";
"152";"Z1 - Pose carrelage tradi et faïences bloc Cuisine & annexes";"15";"";"";"161FD0,";"154FD0,188FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"34176";"";
"153";"Z1 - Préparation & peinture Plafonds + boiserie";"12";"";"";"161FD0,";"154FD0,196FD0,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"10152.5";"";
"154";"Z1 - Pose appareils sanitaires";"10";"";"";"153FD0,152FD0,";"155FD-5,156FD0,183FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"7665";"";
"155";"Z1 - Pose appareils électriques";"10";"";"";"154FD-5,";"156FD0,213FD0,215FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"7362.4";"";
"156";"Z1 - Peintures de finition sur murs et boiseries";"15";"";"";"154FD0,155FD0,";"157FD-10,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"15565";"";
"157";"Z1 - Toile de verre et peinture circulations et locaux divers";"20";"";"";"156FD-10,";"171FD-5,173FD-5,50FD0,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"2927.5";"";
"158";"Z1 - Installation Chaufferie ";"20";"";"";"33FD-5,";"172FD0,211FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"119340";"";
"159";"Z1 - Chape de ravoirage ensemble des locaux";"5";"";"";"168FD-3,167FD0,73FD0,";"160FD0,180FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"19814.4";"";
"160";"Z1 - Pose du plancher chauffant salle a manger et Administration";"20";"";"";"159FD0,";"161FD-5,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"17800";"";
"161";"Z1 - Chape d'enrobage du plancher chauffant Resto + Administ.";"8";"";"";"160FD-5,";"164FD0,152FD0,153FD0,75FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"20640";"";
"162";"Z1 - Chape locaux techniques";"8";"";"";"170FD0,";"";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"";"";
"163";"Z1 - Réseau primaire chauffage en plénums";"6";"";"";"73FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"6231";"";
"164";"Z1 - Procédure de mise en chauffe";"21";"";"";"161FD0,";"170FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"";"";
"165";"Z1 - Distributions primaires canalisations alims + évacuat.";"20";"";"";"73FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"30725";"";
"166";"Z1 - Distributions Primaires chemins de cables";"20";"";"";"73FD-5,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"";"";
"167";"Z1 - Distributions secondaires aux appareils sanitaires";"20";"";"";"71FD-15,";"159FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"24227";"";
"168";"Z1 - Distributions secondaires gaines et filerie";"20";"";"";"71FD-15,";"159FD-3,169FD0,177FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"20373";"";
"169";"Z1 - Pose des armoires et coffrets électriques";"5";"";"";"168FD0,";"";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"19310";"";
"170";"Z1 - Pose carrelage collé bloc Resto/Adm.";"8";"";"";"164FD0,";"162FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"35300";"";
"171";"Z1 - Plafonds secondaires circulations";"15";"";"";"157FD-5,";"178FD-8,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"";"";
"172";"Z1 - Essais et mise en route chaufferie ";"8";"";"";"158FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"";"";
"173";"Z1 - Pose lustrerie";"10";"";"";"157FD-5,";"174FD0,182FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"25497";"";
"174";"Z1 - Signalétique et nettoyage OPR";"5";"";"";"173FD0,";"175FD0,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"";"";
"175";"Z1 - Opérations préalables a la Réception des Travaux";"5";"";"";"174FD0,";"176FD0,202FD0,";"P-02---";"Exécution des Travaux";"I-01---";"Maîtrise d'ouvrage & maîtrise d'oeuvre";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"2012.5";"";
"176";"Z1 - Finitions, levée des observations OPR";"10";"";"";"175FD0,";"";"P-02---";"Exécution des Travaux";"I-02---";"Ensemble entreprises Tous Corps d' Etat";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"";"";
"177";"Z1 - Distributions courants faibles";"15";"";"";"168FD0,";"";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"";"";
"178";"Z1 - Pose équipements courants faibles";"10";"";"";"171FD-8,";"";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"";"";
"179";"Z1 - Installation groupe électrogène";"10";"";"";"186FD0,";"";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"32350";"";
"180";"Z1 - Montage ascenseur, pose portes palières";"15";"";"";"159FD0,";"";"P-02---";"Exécution des Travaux";"I-18---";"Lot n° 16 - Ascenseur";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"29000";"";
"181";"Z1 - Essais et mise en service groupe électrogène";"5";"";"";"182FD0,";"";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"0";"";
"182";"Essais et mises en service des installations Elec";"8";"";"";"173FD0,";"181FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"";"";
"183";"Essais et mise en service Plomberie";"5";"";"";"154FD0,";"151FD0,";"P-02---";"Exécution des Travaux";"I-14---";"Lot n° 12 - Serrurerie, métallerie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"";"";
"184";"Pose mains courantes escaliers";"3";"";"";"185FD0,";"";"P-02---";"Exécution des Travaux";"I-14---";"Lot n° 12 - Serrurerie, métallerie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"25025";"";
"185";"Pose des gardes corps";"15";"";"";"28FD0,";"184FD0,";"P-02---";"Exécution des Travaux";"I-14---";"Lot n° 12 - Serrurerie, métallerie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"25330";"";
"186";"Pose des fermetures métalliques";"5";"";"";"25FD0,";"179FD0,187FD0,";"P-02---";"Exécution des Travaux";"I-14---";"Lot n° 12 - Serrurerie, métallerie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"6890";"";
"187";"Divers grilles, echelles, etc";"5";"";"";"186FD0,";"";"P-02---";"Exécution des Travaux";"I-14---";"Lot n° 12 - Serrurerie, métallerie";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"6500";"";
