N° ;Désignation;Durée;Crit 1;Désign Crit 1;Crit 2;Désign Crit 2;Crit 3;Désign Crit 3
131;Z2 - Réseau primaire chauffage en plénums;6;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
132;Z2 - Procédure de mise en chauffe;21;P-02---;PHASE B - EXECUTION des TRAVAUX;I-12---;Lot n° 10 - Revêtement se sols durs, faïences;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
133;Z2 - Distributions primaires canalisations alims + évacuat.;30;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
134;Z2 - Distributions Primaires chemins de cables;30;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
135;Z2 - Distributions secondaires aux appareils sanitaires;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
136;Z2 - Distributions secondaires gaines et filerie;45;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
137;Z2 - Pose des armoires et coffrets électriques;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
138;Z2 - Sol souple des chambres;18;P-02---;PHASE B - EXECUTION des TRAVAUX;I-11---;Lot n° 09 - Revêtement sols souples;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
139;Z2 - Plafonds secondaires circulations;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-10---;Lot n° 08 - Cloisons doublages plafonds isolation;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
140;Z2 - Sols souples circulations;8;P-02---;PHASE B - EXECUTION des TRAVAUX;I-11---;Lot n° 09 - Revêtement sols souples;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
141;Z2 - Pose lustrerie;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
142;Z2 - Signalétique et nettoyage OPR;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-13---;Lot n° 11 - Peinture, miroiterie, signalétique;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
143;Z2 - Opérations préalables a la Réception des Travaux;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-01---;Maîtrise d'ouvrage & maîtrise d'oeuvre;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
144;Z2 - Finitions, levée des observations OPR;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-02---;Ensemble entreprises Tous Corps d' Etat;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
145;Z2 - Distributions courants faibles;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
146;Z2 - Pose équipements courants faibles;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
147;Z2 - Gaines C Faible incorporées dans cloisons sèches;35;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
148;Z2 - Montage ascenseur, pose portes palières;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-18---;Lot n° 16 - Ascenseur;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
149;Z2 - Essais et mise en service ascenseur;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-18---;Lot n° 16 - Ascenseur;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
150;Essais et mises en service des installations Elec;8;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-01---;ENSEMBLE du PROJET
151;Essais et mise en service Plomberie;8;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-01---;ENSEMBLE du PROJET
152;Z1 - Pose carrelage tradi et faïences bloc Cuisine & annexes;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-12---;Lot n° 10 - Revêtement se sols durs, faïences;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
153;Z1 - Préparation & peinture Plafonds + boiserie;12;P-02---;PHASE B - EXECUTION des TRAVAUX;I-13---;Lot n° 11 - Peinture, miroiterie, signalétique;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
154;Z1 - Pose appareils sanitaires;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
155;Z1 - Pose appareils électriques;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
156;Z1 - Peintures de finition sur murs et boiseries;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-13---;Lot n° 11 - Peinture, miroiterie, signalétique;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
157;Z1 - Toile de verre et peinture circulations et locaux divers;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-13---;Lot n° 11 - Peinture, miroiterie, signalétique;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
158;Z1 - Installation Chaufferie ;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
159;Z1 - Chape de ravoirage ensemble des locaux;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-12---;Lot n° 10 - Revêtement se sols durs, faïences;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
160;Z1 - Pose du plancher chauffant salle a manger et Administration;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
161;Z1 - Chape d'enrobage du plancher chauffant Resto + Administ.;8;P-02---;PHASE B - EXECUTION des TRAVAUX;I-12---;Lot n° 10 - Revêtement se sols durs, faïences;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
162;Z1 - Chape locaux techniques;8;P-02---;PHASE B - EXECUTION des TRAVAUX;I-12---;Lot n° 10 - Revêtement se sols durs, faïences;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
163;Z1 - Réseau primaire chauffage en plénums;6;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
164;Z1 - Procédure de mise en chauffe;21;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
165;Z1 - Distributions primaires canalisations alims + évacuat.;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
166;Z1 - Distributions Primaires chemins de cables;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
167;Z1 - Distributions secondaires aux appareils sanitaires;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
168;Z1 - Distributions secondaires gaines et filerie;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
169;Z1 - Pose des armoires et coffrets électriques;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
170;Z1 - Pose carrelage collé bloc Resto/Adm.;8;P-02---;PHASE B - EXECUTION des TRAVAUX;I-12---;Lot n° 10 - Revêtement se sols durs, faïences;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
171;Z1 - Plafonds secondaires circulations;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-10---;Lot n° 08 - Cloisons doublages plafonds isolation;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
172;Z1 - Essais et mise en route chaufferie ;8;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
173;Z1 - Pose lustrerie;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
174;Z1 - Signalétique et nettoyage OPR;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-13---;Lot n° 11 - Peinture, miroiterie, signalétique;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
175;Z1 - Opérations préalables a la Réception des Travaux;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-01---;Maîtrise d'ouvrage & maîtrise d'oeuvre;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
176;Z1 - Finitions, levée des observations OPR;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-02---;Ensemble entreprises Tous Corps d' Etat;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
177;Z1 - Distributions courants faibles;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
178;Z1 - Pose équipements courants faibles;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
179;Z1 - Installation groupe électrogène;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
180;Z1 - Montage ascenseur, pose portes palières;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-18---;Lot n° 16 - Ascenseur;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
181;Z1 - Essais et mise en service groupe électrogène;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
182;Essais et mises en service des installations Elec;8;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
183;Essais et mise en service Plomberie;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-14---;Lot n° 12 - Serrurerie, métallerie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
184;Pose mains courantes escaliers;3;P-02---;PHASE B - EXECUTION des TRAVAUX;I-14---;Lot n° 12 - Serrurerie, métallerie;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
185;Pose des gardes corps;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-14---;Lot n° 12 - Serrurerie, métallerie;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
186;Pose des fermetures métalliques;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-14---;Lot n° 12 - Serrurerie, métallerie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
187;Divers grilles, echelles, etc;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-14---;Lot n° 12 - Serrurerie, métallerie;T-01---;ENSEMBLE du PROJET
188;Montage cloisonnements isothermiques cuisine ;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-19---;Lot n° 17 - Equipement de cuisine;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
189;Installation du matériel de cuisine;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-19---;Lot n° 17 - Equipement de cuisine;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
190;Distributions élec aux appareils cuisines;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
191;Distributions plomberie aux appareils cuisine;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
192;Traitement a la chaux sous voirie;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
193;Couche de fondation des voiries;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
194;Exécution des réseaux humides Eu/Ev, Aep, EP;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
195;Exécution des réseaux secs;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
196;Reprofilage couche de fondation, pose couche de base;8;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
197;Aménagements espaces cours intérieures secteur hébergements;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
198;Pose des bordures;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
199;Aménagement des espaces verts, ;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
200;Tapis d'enrobé voiries;8;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
201;Signalisation & barrières;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-20---;Lot n° 18 - Voirie & réseaux divers;T-01---;ENSEMBLE du PROJET
202;RECEPTION des OUVRAGES;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-01---;Maîtrise d'ouvrage & maîtrise d'oeuvre;T-01---;ENSEMBLE du PROJET
203;VRD - Opérations préalables a la réception des travaux;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-01---;Maîtrise d'ouvrage & maîtrise d'oeuvre;T-01---;ENSEMBLE du PROJET
204;Z1 - Pose radiateurs secteur cuisine;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
205;Z3 - Distribution réseaux VMC;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-04---;Zone 3 - HEBERGEMENT ALZHEIMER
206;Z2 - Distributions réseaux VMC;25;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
207;Z1 - Distribution réseaux VMC;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
208;Z3 - Accessoires Sécurité Incendie;3;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-04---;Zone 3 - HEBERGEMENT ALZHEIMER
209;Z2 - Accessoires Sécurité Incendie;3;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-05---;Zone 2 - HEBERGEMENT Unités 1& 2
210;Z1 - Accessoires Sécurité Incendie;3;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
211;Z1 - Installation production eau chaude chaufferie;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-15---;Lot n° 13 - Chauffage, ventilation plomberie;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
212;Réseau de terre + incorporés dans G/Oeuvre;30;P-02---;PHASE B - EXECUTION des TRAVAUX;I-16---;Lot n° 14 - Electricité courants Forts;T-03---;Zone 1 - LOGISTIQUE & RESTAURATION
213;Réseau informatique;20;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-01---;ENSEMBLE du PROJET
214;Telephonie;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-01---;ENSEMBLE du PROJET
215;Système de sécurité incendie;10;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-01---;ENSEMBLE du PROJET
216;desenfumage et asservissement;40;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-01---;ENSEMBLE du PROJET
217;Télévision;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-01---;ENSEMBLE du PROJET
218;Vidéo surveillance, contrôle d'accès;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-01---;ENSEMBLE du PROJET
219;Système d'appel malades;15;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-01---;ENSEMBLE du PROJET
220;Diffusio de l'heure, sonorisation;5;P-02---;PHASE B - EXECUTION des TRAVAUX;I-17---;Lot n° 15 - Courants faibles;T-01---;ENSEMBLE du PROJET
